TEXT,FROM_USER,CREATED_AT
@NEH_ODH rocks the house! We really appreciate your support for #LAWDI.,sebhth,"Sun, 03 Jun 2012 16:10:43 +0000"
#Lawdi thank you to the Lawdi organizers for a great 3 days. thinking about URIs and RDF on the train home. let's keep the momentum going,elli_m,"Sun, 03 Jun 2012 15:49:19 +0000"
Thanks to all for a great conference! Started a #Zotero #LAWDI biblio page from tweeted cites: http://t.co/KxK51KRP Help fill it up!,JD_PhD,"Sun, 03 Jun 2012 15:41:55 +0000"
#lawdi I'm with @ByzCapp : Wow. Thanks and hugs to all.,sebhth,"Sun, 03 Jun 2012 13:43:48 +0000"
#lawdi faculty on 5/30 back from the planning session at ISAW. Looks like something from a band's press kit :) http://t.co/QfVf01bw,adreinhard,"Sun, 03 Jun 2012 13:41:33 +0000"
"bidding farewell to participants in the Linked Ancient World Data Institute, funded by @NEH_ODH. Watch for #lawdi 2013 applications in fall",isawnyu,"Sun, 03 Jun 2012 13:26:43 +0000"
RT @paregorios: I can't say enough thanks to everyone who participated in and supported #lawdi . Safe travels!,ewg118,"Sun, 03 Jun 2012 13:25:06 +0000"
I can't say enough thanks to everyone who participated in and supported #lawdi . Safe travels!,paregorios,"Sun, 03 Jun 2012 13:24:45 +0000"
just interviewed the amazing Adam Rabinowitz about the Chersonese Pompei and Geodia http://t.co/zn3weNw4 Watch this space #lawdi,ClassicsConfide,"Sun, 03 Jun 2012 12:37:14 +0000"
#lawdi ~ thanks to all those on 'the inside' who kept those of us on 'the outside' informed with their tweets!!! very successful demo,rogueclassicist,"Sun, 03 Jun 2012 11:09:18 +0000"
"Echoing other Lawdites, thanks to ISAW & #lawdi organizers, and thanks to all for inspiring conversation and ideas. Time to act on those.",adreinhard,"Sun, 03 Jun 2012 11:05:22 +0000"
"To follow @eltonteb 's lead, I also meant to say that link-building is now part of the production cycle for publications #lawdi",adreinhard,"Sun, 03 Jun 2012 11:00:00 +0000"
Considering trek down to the High Line before I need to leave for LGA at 11am #lawdi #sleepwhatsleep,classicslib,"Sun, 03 Jun 2012 10:52:23 +0000"
A #lawdi PS from me: link data incrementally by building links with people + projects with whom you want to work #pointishouldhavemadeintalk,eltonteb,"Sun, 03 Jun 2012 10:49:18 +0000"
Heading back to Blighty #lawdi > JFK > LHR,portableant,"Sun, 03 Jun 2012 09:23:34 +0000"
"Wow, lawdites. Just wow. My thanks and admiration for you all runs deep. #lawdi",ByzCapp,"Sun, 03 Jun 2012 04:53:23 +0000"
"RT @davidamichelson: Thank you #lawdi organizers and participants, what a great chance to learn new things from inspiring scholars and new friends!",portableant,"Sun, 03 Jun 2012 04:33:45 +0000"
"Thank you #lawdi organizers and participants, what a great chance to learn new things from inspiring scholars and new friends!",davidamichelson,"Sun, 03 Jun 2012 04:33:03 +0000"
RT @nopiedra: #linkeddata Linked ancient world data institute #lawdi http://t.co/FNLgHKAm,ae_romero,"Sun, 03 Jun 2012 04:01:00 +0000"
RT @hcayless: More wisdom from @sebhth: get off the wave before you jump the shark. #lawdi,portableant,"Sun, 03 Jun 2012 02:56:00 +0000"
"“@portableant: @adreinhard @ekansa @ewg118 we are back in dive bar, with Grubermonster #lawdi” #crowdsauce??",Menetys,"Sun, 03 Jun 2012 02:43:30 +0000"
"RT @portableant: @adreinhard @ekansa @ewg118 we are back in dive bar, with Grubermonster #lawdi",paregorios,"Sun, 03 Jun 2012 02:36:51 +0000"
@sebhth @pjherrel Yes! Phoebe @classicslib will try it I'm sure. #lawdi,ISAWLibrary,"Sun, 03 Jun 2012 02:26:14 +0000"
"@adreinhard @ekansa @ewg118 we are back in dive bar, with Grubermonster #lawdi",portableant,"Sun, 03 Jun 2012 02:24:43 +0000"
RT @hcayless: More wisdom from @sebhth: get off the wave before you jump the shark. #lawdi,mr56k,"Sun, 03 Jun 2012 02:23:17 +0000"
More wisdom from @sebhth: get off the wave before you jump the shark. #lawdi,hcayless,"Sun, 03 Jun 2012 01:47:04 +0000"
"#lawdi @davidamichelson ""as long as we're on Scandinavian-Byzantine trivia...""",classicslib,"Sun, 03 Jun 2012 01:40:06 +0000"
What an amazing and productive week. Many thanks to ISAW and all who participated at #lawdi.,BridgetAlmas,"Sun, 03 Jun 2012 01:40:03 +0000"
"RT @BradHafford: Scholarly publishing effort now is essentially steampunk #lawdi , 21st century work with 19th century models",ash966,"Sun, 03 Jun 2012 01:25:22 +0000"
"#LAWDI My profound gratitude to the folks at ISAW, and my admiration for my fellow travelers at the Linked Ancient World Data Institute.",CWBlackwell,"Sun, 03 Jun 2012 01:22:07 +0000"
Reinhard LAWDI Presentation http://t.co/CUIjd0YF via @slideshare #lawdi,adreinhard,"Sun, 03 Jun 2012 00:46:08 +0000"
#linkeddata Linked ancient world data institute #lawdi http://t.co/FNLgHKAm,nopiedra,"Sun, 03 Jun 2012 00:31:08 +0000"
@austin_hoya @Fastionline @adamrabinowitz Fasti was mentioned more than once by more than one presenter @ #lawdi,ISAWLibrary,"Sun, 03 Jun 2012 00:27:06 +0000"
Where''s the #lawdi crew? Dive bar or else where @ekansa @ewg118,portableant,"Sun, 03 Jun 2012 00:12:41 +0000"
Wow - http://t.co/TgVivl73 sorry I missed them at #lawdi,digitaldante,"Sat, 02 Jun 2012 23:17:00 +0000"
"Has #Lawdi mentioned role of @Fastionline ? @adamrabinowitz Just wondering, from Eataly.",austin_hoya,"Sat, 02 Jun 2012 23:01:35 +0000"
Please tweet the movable post-conf party. I hope to catch up with y'all after 9 tonight #lawdi,adreinhard,"Sat, 02 Jun 2012 22:35:10 +0000"
"Visiting the Met, seeing some old friends and many new. #lawdi",classicslib,"Sat, 02 Jun 2012 22:28:46 +0000"
"RT @chrpr: Let's just open everything, folks! Openness is part of our dog food, right? Let's make a feast of our own transparency! #lawdi",latona12,"Sat, 02 Jun 2012 22:13:38 +0000"
"It's over for now, time to REST? Many thanks to all #lawdi organizers and participants",BradHafford,"Sat, 02 Jun 2012 22:13:22 +0000"
Time for the dive bar #lawdi,ewg118,"Sat, 02 Jun 2012 21:59:15 +0000"
"Wandering thru classics and islamic wing of MET with classicists and ancient world scholars. Thank you again, #lawdi",chrpr,"Sat, 02 Jun 2012 21:42:47 +0000"
Last #lawdi walk home. Fantastically grueling 3 days. Thx to organizers & participants. http://t.co/yYW3rmUJ,Pompeiana79,"Sat, 02 Jun 2012 21:34:52 +0000"
RT @paregorios: #lawdi Guidelines for Evaluating Work in the Digital Humanities and Digital Media: http://t.co/U7drMJJJ,CKamposiori,"Sat, 02 Jun 2012 21:21:32 +0000"
@chrpr actually came from the #lawdi convo! Following with interest and curiosity!,patrick_mj,"Sat, 02 Jun 2012 21:16:27 +0000"
"RT @portableant: Links for talks on Slideshare from #lawdi, DM me if you want yours added to the list. http://t.co/9WyE4VR0",captain_primate,"Sat, 02 Jun 2012 21:15:36 +0000"
Potentially stupid question warning: where is the central #LAWDI resource?,DigitalDigging,"Sat, 02 Jun 2012 21:14:48 +0000"
"#divebar #lawdi #gubgubdub Also, who's watching the hockey later?",chrpr,"Sat, 02 Jun 2012 21:03:37 +0000"
Good timing for #lawdi convo: RT @patrick_mj: via @portableant http://t.co/0nbRuJsR hackday manifesto // cc @amandafrench,chrpr,"Sat, 02 Jun 2012 21:02:47 +0000"
"Ancient world people++ #lawdi ++ What an exchausting few days, but invigorating too. Thank you all, and especially the organizers & hosts!",chrpr,"Sat, 02 Jun 2012 21:01:24 +0000"
#lawdi hits 5:00 on the last day … some going to @metmuseum … others no doubt headed for … THE DIVE BAR,paregorios,"Sat, 02 Jun 2012 21:00:53 +0000"
"Oh bummed, #LAWDI has finished. Dive Bar!",portableant,"Sat, 02 Jun 2012 21:00:27 +0000"
@sebhth #lawdi concludes. It's been a blast. Thank you everyone. See you all again sometime I hope!,eltonteb,"Sat, 02 Jun 2012 21:00:19 +0000"
#lawdi clap clap clap clap. Great conference.,Pompeiana79,"Sat, 02 Jun 2012 21:00:18 +0000"
#LAWDI lots of linking of hands in applause,davidamichelson,"Sat, 02 Jun 2012 21:00:07 +0000"
"Also help non-classicists hack ancient data at other history/culture hackdays? Share egs, docs MT @portableant If we do a #lawdi hackfest...",mia_out,"Sat, 02 Jun 2012 21:00:03 +0000"
And it's over! #lawdi,JD_PhD,"Sat, 02 Jun 2012 20:59:44 +0000"
"Links for talks on Slideshare from #lawdi, DM me if you want yours added to the list. http://t.co/9WyE4VR0",portableant,"Sat, 02 Jun 2012 20:58:35 +0000"
"#lawdi @CWBlackwell scholarship is collaborative; not on the margins! -- Actually, we used to value marginalia, DH makes this possible again",davidamichelson,"Sat, 02 Jun 2012 20:58:22 +0000"
"#lawdi @elli_m : we need level to rise: we need new people to be better informed, become more engaged; alongside hackfest = broad outreach",paregorios,"Sat, 02 Jun 2012 20:57:55 +0000"
"defining hackfest by @sebhth : not just for bona fide hackers … rather, anyone come with your data and leave on or closer to #LOD web #lawdi",paregorios,"Sat, 02 Jun 2012 20:56:40 +0000"
#lawdi @CWBlackwell sez this is the core of where scholarship is going; belongs at center of discourse; don't choose to stay on the margins!,paregorios,"Sat, 02 Jun 2012 20:55:08 +0000"
"#lawdi this kind of linking is what scholarship will be, until the end of time - Chris Blackwell",elli_m,"Sat, 02 Jun 2012 20:54:03 +0000"
RT @rogueclassicist: man ... can you imagine what #apaaia or #cac2012 would be like if it had twitterengagement like #lawdi has had?? edges are being cut ...,eltonteb,"Sat, 02 Jun 2012 20:53:31 +0000"
"#lawdi some folks here think their institutions could help kick in toward costs of hackfests (rooms, snacks) alongside meetings #skunkworks",paregorios,"Sat, 02 Jun 2012 20:53:28 +0000"
Interesting resource: not just MLA. | @paregorios: #lawdi Guidelines for Evaluating Alternative Scholarly Products http://t.co/liyVumYt,aurelberra,"Sat, 02 Jun 2012 20:52:22 +0000"
RT @hcayless: My #LAWDI talk and slides from Thursday: https://t.co/3Bt5USy9 & http://t.co/Nu3dsafF,skgoetz,"Sat, 02 Jun 2012 20:52:17 +0000"
Shameless plug: come to #thatcamp for digital archaeology in august in virginia to continue the conversation! http://t.co/zCkeubPF #lawdi,ewg118,"Sat, 02 Jun 2012 20:51:08 +0000"
.@elli_m what about a post-#lawdi virtual hackfest … lower barrier wrt resources … could bring in repos programmers,paregorios,"Sat, 02 Jun 2012 20:49:04 +0000"
"RT @paregorios #lawdi Suggested Guidelines for Evaluating Digital Media Activities in Tenure, Review, and Promotion http://t.co/eDPmUZqg",JanellePeters,"Sat, 02 Jun 2012 20:48:58 +0000"
"RT @adamrabinowitz: #lawdi slides up on slideshare, complete with crayon drawing (also appears in my other slideshare -- LOCKSS, right?) http://t.co/yTuKOVTo",portableant,"Sat, 02 Jun 2012 20:48:58 +0000"
"RT @chrpr Hackfest + Linkfest. Come away with both a bit of code *and* new links between resources, projects, people. #lawdi",patrick_mj,"Sat, 02 Jun 2012 20:48:48 +0000"
"RT @adamrabinowitz: #lawdi slides up on slideshare, complete with crayon drawing (also appears in my other slideshare -- LOCKSS, right?) http://t.co/yTuKOVTo",eltonteb,"Sat, 02 Jun 2012 20:48:39 +0000"
"#lawdi slides up on slideshare, complete with crayon drawing (also appears in my other slideshare -- LOCKSS, right?) http://t.co/yTuKOVTo",adamrabinowitz,"Sat, 02 Jun 2012 20:48:22 +0000"
.@sebhth #lawdi 2013 a wholly new application/admission process ; could there be as well a hack-focused phase 2 for 2012 folks (need rsrcs),paregorios,"Sat, 02 Jun 2012 20:48:04 +0000"
RT @eltonteb: @sebhth a #lawdi 2 - a hackfest to play with data #yesyesyes,ekansa,"Sat, 02 Jun 2012 20:47:59 +0000"
"Hackfest + Linkfest. Come away with both a bit of code *and* new links between resources, projects, people. #lawdi",chrpr,"Sat, 02 Jun 2012 20:47:43 +0000"
@sebhth a #lawdi 2 - a hackfest to play with data #yesyesyes,eltonteb,"Sat, 02 Jun 2012 20:46:53 +0000"
RT @Menetys: It's time for some coins: http://t.co/M89wiRbi #lawdi,portableant,"Sat, 02 Jun 2012 20:46:25 +0000"
RT @rogueclassicist: man ... can you imagine what #apaaia or #cac2012 would be like if it had twitterengagement like #lawdi has had?? edges are being cut ...,classicslib,"Sat, 02 Jun 2012 20:46:20 +0000"
"@phylogenomics MT ""Only 892 signatures needed for #OpenAccess petition http://t.co/dxJzwlAr"" Please sign #lawdi",ekansa,"Sat, 02 Jun 2012 20:46:19 +0000"
"If we do a #lawdi hackfest, can we follow the http://t.co/wZ3y9XoK hackday manifesto please?",portableant,"Sat, 02 Jun 2012 20:46:08 +0000"
man ... can you imagine what #apaaia or #cac2012 would be like if it had twitterengagement like #lawdi has had?? edges are being cut ...,rogueclassicist,"Sat, 02 Jun 2012 20:45:48 +0000"
Someone just made my day with the maurice sendak quote in the googledoc notes... #lawdi,chrpr,"Sat, 02 Jun 2012 20:45:38 +0000"
RT @Menetys: It's time for some coins: http://t.co/M89wiRbi #lawdi,eltonteb,"Sat, 02 Jun 2012 20:44:44 +0000"
